c1	Check bank balance	User asks how much money is in their bank account(s).
c2	Check if balance covers a purchase	User asks whether their bank balance is enough to afford a specific purchase.
c3	Freeze or hold bank account	User asks to freeze, lock, hold, or block their own bank account.
c4	Ask why bank account is locked	User asks the assistant to explain why their bank account is currently locked or inaccessible.
c5	Report fraud or suspicious activity	User flags suspicious activity, an unauthorized charge, or a hacked/compromised bank account.
c6	Order new checks or checkbook	User asks to order more paper checks or a new checkbook for their account.
c7	Look up bank routing number	User asks for the routing number of their bank account or where to find it.
c8	Transfer money between accounts	User asks to move funds from one of their accounts to another, including 401k transfers.
c9	Notify bank of upcoming travel	User asks the assistant to inform the bank or its fraud department about upcoming travel.
c10	Get deposit account interest rate	User asks the interest rate on a checking or savings account (a deposit-side rate, not a credit card APR).
c11	Get credit card APR	User asks about the APR or interest rate on their credit card, possibly relative to a benchmark.
c12	Get credit card limit	User asks for the spending/credit limit currently set on a credit card.
c13	Increase credit card limit	User asks to raise the credit limit on a card, or how to request an increase.
c14	Get foreign transaction fee on card	User asks whether their card will be charged international or foreign transaction fees.
c15	Get minimum payment due	User asks for the minimum payment owed on a credit card or bill.
c16	Check credit card rewards balance	User asks how many reward points they have on a credit card.
c17	Redeem credit card rewards	User asks how to apply or redeem credit card reward points, e.g., toward a flight.
c18	Get credit score	User asks about their credit rating, FICO score, or how an event affects it.
c19	Apply for new credit card	User asks how to apply for, or asks to start an application for, a new credit card.
c20	Check credit card application status	User asks whether their submitted credit card application has been approved or processed.
c21	Check replacement card arrival	User asks when their replacement or newly issued card will arrive.
c22	Report damaged card	User asks how to report a damaged debit or credit card.
c23	Get minimum age for card	User asks at what age someone is eligible to get a credit card.
c24	Get overdraft protection coverage	User asks how much overdraft protection covers on their account.
c25	Set up direct deposit	User asks how to set up direct deposit for their paycheck.
c26	Get pay date	User asks when their next paycheck arrives or when the last one was issued.
c27	Get income amount	User asks how much they earn or what their total income is.
c28	Get taxes owed	User asks how much in state or income taxes they owe or have paid.
c29	Get W-2 form	User asks where or how to obtain their W-2 tax form.
c30	Get recent transaction	User asks about the most recent transaction or its amount.
c31	Get spending summary	User asks for their cumulative spending over a period or broken down by category.
c32	Pay or check utility bill	User asks about the amount due on a utility bill or states the intent to pay it.
c33	Get utility bill due date	User asks when a utility bill is due.
c34	Get utility meter reading or usage	User asks for a gas/electric meter reading or kWh usage figure.
c35	Update mailing address	User asks to update the mailing address on their account.
c36	Change name on account	User asks to change the name listed on a financial account.
c37	Auto-fill card on form	User asks the assistant to autofill their credit card number into a form on screen.
c38	Get health insurance plan info	User asks for details of their current health insurance plan.
c39	Update insurance contact	User asks who to contact to update their insurance information.
c40	Sign up for new insurance plan	User asks how to enroll in a new insurance plan.
c41	Submit PTO request	User asks the assistant to file a paid time off or vacation request for specific dates.
c42	Check PTO balance	User asks how many PTO or vacation days they have remaining or have already used.
c43	Check PTO request approval	User asks whether a submitted PTO or vacation request has been approved.
c44	Get next day off	User asks when their next scheduled day off is or how long until one is available.
c45	List today's meetings	User asks the assistant to list the meetings on their schedule for today.
c46	Book meeting room	User asks the assistant to reserve a meeting room.
c47	Remove calendar event	User asks the assistant to delete or clear an event from their calendar.
c48	Make restaurant reservation	User asks the assistant to book a new restaurant table reservation.
c49	Confirm restaurant reservation	User asks the assistant to verify or confirm an existing restaurant reservation.
c50	Cancel restaurant reservation	User asks the assistant to cancel a dinner or restaurant reservation.
c51	Check if restaurant takes reservations	User asks whether a restaurant accepts reservations.
c52	Check restaurant wait time	User asks how busy a restaurant is or how long the current wait is.
c53	Check restaurant reviews	User asks whether reviews for a restaurant are good or what the rating is.
c54	Recommend restaurants	User asks for suggestions of places to eat or restaurants to try.
c55	Find a recipe	User asks the assistant to find a recipe for a specific dish.
c56	Get cooking time	User asks how long to cook a particular food item.
c57	Ask ingredient substitution	User asks whether one ingredient can replace another in a recipe.
c58	List recipe ingredients	User asks what ingredients are required to make a particular dish, or what oil is best for cooking it.
c59	Ask food storage or expiration	User asks how long a food item keeps or when it goes bad.
c60	Get nutrition info	User asks for nutrition or calorie information about a food item.
c61	Add item to shopping list	User asks the assistant to add an item to their shopping or grocery list.
c62	View shopping list	User asks what is currently on their shopping or grocery list.
c63	View reminders or to-do list	User asks the assistant to read out their to-do list or reminders.
c64	Place online order	User asks the assistant to place an order for goods or process a shopping list purchase.
c65	Check order status	User asks for the status of an existing online order.
c66	Find product to buy online	User asks the assistant where to buy a specific product online or to search for a product style.
c67	Find local service provider	User asks for a local service provider such as a cleaner, instructor, real estate agent, or specialty professional.
c68	Find nearest store or hospital	User asks for the nearest store, hospital, or business to a location.
c69	List nearby venues or amenities	User asks for a listing of stores, community gardens, or amenities in a nearby area.
c70	Book ride share	User asks the assistant to book an Uber or other ride share to a destination.
c71	Book a flight	User asks the assistant to book or reserve a flight.
c72	Check flight status	User asks for the current status of a specific flight.
c73	Book hotel	User asks the assistant to find or book a hotel.
c74	Book car rental	User asks the assistant to book a car rental.
c75	Check carry-on luggage rules	User asks what items or limits apply to airline carry-on luggage.
c76	Check travel vaccination requirements	User asks whether vaccinations or shots are required or recommended for travel to a destination.
