id,text
1,"Wages haven't kept up with the cost of groceries and rent for years."
2,"I can barely afford gas and basic bills, prices keep climbing."
3,"Good jobs are disappearing from my town and nothing is replacing them."
4,"Inflation is eating away at every paycheck I bring home."
5,"Young people can't afford houses anymore, the economy is broken."
6,"Stagnant wages and rising prices, that's what's killing the middle class."
7,"Insurance premiums keep going up and the coverage keeps getting worse."
8,"I had to skip my medication last month because I couldn't afford it."
9,"Hospital bills are bankrupting families even with so-called good insurance."
10,"Prescription drug prices in this country are completely out of control."
11,"My doctor's appointment took six months to schedule, the system is overwhelmed."
12,"Mental health care is impossible to access unless you're wealthy."
13,"The wildfires near my home get worse every single year now."
14,"We're not doing anything serious about climate change before it's too late."
15,"Water quality where I live has been deteriorating for a decade."
16,"Extreme weather keeps destroying communities and we just rebuild and wait for the next one."
17,"Air pollution near the highways is making my kids sick."
18,"Future generations will inherit a planet we made unlivable, and we know it."
